year_month,uf,product,unit,volume,created_at
2000-1,SP,ÓLEO DIESEL ,m3,594406.65,2022-03-17
2000-1,RJ,ÓLEO DIESEL ,m3,151108.47,2022-03-17
2000-1,ES,ÓLEO DIESEL ,m3,53431.85,2022-03-17
2000-1,MG,ÓLEO DIESEL ,m3,314501.82,2022-03-17
2000-1,BA,ÓLEO DIESEL ,m3,147901.95,2022-03-17
2000-1,SE,ÓLEO DIESEL ,m3,17465.62,2022-03-17
2000-1,AL,ÓLEO DIESEL ,m3,26579.8,2022-03-17
2000-1,PE,ÓLEO DIESEL ,m3,69053.25,2022-03-17
2000-1,PB,ÓLEO DIESEL ,m3,23442.5,2022-03-17
2000-1,RN,ÓLEO DIESEL ,m3,28048.25,2022-03-17
2000-1,CE,ÓLEO DIESEL ,m3,45078.54,2022-03-17
2000-1,PI,ÓLEO DIESEL ,m3,19028.16,2022-03-17
2000-1,MA,ÓLEO DIESEL ,m3,46337.62,2022-03-17
2000-1,TO,ÓLEO DIESEL ,m3,26250.62,2022-03-17
2000-1,AP,ÓLEO DIESEL ,m3,12191.44,2022-03-17
2000-1,PA,ÓLEO DIESEL ,m3,78637.61,2022-03-17
2000-1,RR,ÓLEO DIESEL ,m3,13675.73,2022-03-17
2000-1,AM,ÓLEO DIESEL ,m3,50004.66,2022-03-17
2000-1,AC,ÓLEO DIESEL ,m3,18025.34,2022-03-17
2000-1,RO,ÓLEO DIESEL ,m3,47445.94,2022-03-17
2000-1,DF,QUEROSENE DE AVIAÇÃO ,m3,20081.8,2022-03-17
2000-1,GO,QUEROSENE DE AVIAÇÃO ,m3,5706.3,2022-03-17
2000-1,MT,QUEROSENE DE AVIAÇÃO ,m3,2566.9,2022-03-17
2000-1,MS,QUEROSENE DE AVIAÇÃO ,m3,2278.17,2022-03-17
2000-1,RS,QUEROSENE DE AVIAÇÃO ,m3,9318.58,2022-03-17
2000-1,SC,QUEROSENE DE AVIAÇÃO ,m3,7126.65,2022-03-17
2000-1,PR,QUEROSENE DE AVIAÇÃO ,m3,13175.15,2022-03-17
2000-1,SP,QUEROSENE DE AVIAÇÃO ,m3,159757.69,2022-03-17
2000-1,RJ,QUEROSENE DE AVIAÇÃO ,m3,51930.74,2022-03-17
2000-1,ES,QUEROSENE DE AVIAÇÃO ,m3,1548.92,2022-03-17
2000-1,MG,QUEROSENE DE AVIAÇÃO ,m3,9614.98,2022-03-17
2000-1,BA,QUEROSENE DE AVIAÇÃO ,m3,18744.82,2022-03-17
2000-1,SE,QUEROSENE DE AVIAÇÃO ,m3,1117.52,2022-03-17
2000-1,AL,QUEROSENE DE AVIAÇÃO ,m3,2506.79,2022-03-17
2000-1,PE,QUEROSENE DE AVIAÇÃO ,m3,18508.5,2022-03-17
2000-1,PB,QUEROSENE DE AVIAÇÃO ,m3,708.64,2022-03-17
2000-1,RN,QUEROSENE DE AVIAÇÃO ,m3,3747.39,2022-03-17
2000-1,CE,QUEROSENE DE AVIAÇÃO ,m3,9408.77,2022-03-17
2000-1,PI,QUEROSENE DE AVIAÇÃO ,m3,2051.52,2022-03-17
2000-1,MA,QUEROSENE DE AVIAÇÃO ,m3,2608.93,2022-03-17
2000-1,TO,QUEROSENE DE AVIAÇÃO ,m3,394.14,2022-03-17
2000-1,AP,QUEROSENE DE AVIAÇÃO ,m3,419.19,2022-03-17
2000-1,PA,QUEROSENE DE AVIAÇÃO ,m3,6652.62,2022-03-17
2000-1,RR,QUEROSENE DE AVIAÇÃO ,m3,455.36,2022-03-17
2000-1,AM,QUEROSENE DE AVIAÇÃO ,m3,10000.24,2022-03-17
2000-1,AC,QUEROSENE DE AVIAÇÃO ,m3,1154.56,2022-03-17
2000-1,RO,QUEROSENE DE AVIAÇÃO ,m3,1933.56,2022-03-17
2000-1,DF,QUEROSENE ILUMINANTE ,m3,49.4,2022-03-17
2000-1,GO,QUEROSENE ILUMINANTE ,m3,70.0,2022-03-17
2000-1,MT,QUEROSENE ILUMINANTE ,m3,4.0,2022-03-17
2000-1,MS,QUEROSENE ILUMINANTE ,m3,0.0,2022-03-17
2000-1,RS,QUEROSENE ILUMINANTE ,m3,1519.59,2022-03-17
2000-1,SC,QUEROSENE ILUMINANTE ,m3,454.75,2022-03-17
2000-1,PR,QUEROSENE ILUMINANTE ,m3,749.1,2022-03-17
2000-1,SP,QUEROSENE ILUMINANTE ,m3,4031.98,2022-03-17
2000-1,RJ,QUEROSENE ILUMINANTE ,m3,1381.52,2022-03-17
2000-1,ES,QUEROSENE ILUMINANTE ,m3,5.0,2022-03-17
2000-1,MG,QUEROSENE ILUMINANTE ,m3,661.47,2022-03-17
2000-1,BA,QUEROSENE ILUMINANTE ,m3,705.05,2022-03-17
2000-1,SE,QUEROSENE ILUMINANTE ,m3,0.0,2022-03-17
2000-1,AL,QUEROSENE ILUMINANTE ,m3,0.0,2022-03-17
2000-1,PE,QUEROSENE ILUMINANTE ,m3,258.55,2022-03-17
2000-1,PB,QUEROSENE ILUMINANTE ,m3,5.0,2022-03-17
2000-1,RN,QUEROSENE ILUMINANTE ,m3,182.0,2022-03-17
2000-1,CE,QUEROSENE ILUMINANTE ,m3,410.42,2022-03-17
2000-1,PI,QUEROSENE ILUMINANTE ,m3,210.0,2022-03-17
2000-1,MA,QUEROSENE ILUMINANTE ,m3,652.9,2022-03-17
2000-1,TO,QUEROSENE ILUMINANTE ,m3,0.0,2022-03-17
2000-1,AP,QUEROSENE ILUMINANTE ,m3,0.0,2022-03-17
2000-1,PA,QUEROSENE ILUMINANTE ,m3,319.15,2022-03-17
2000-1,RR,QUEROSENE ILUMINANTE ,m3,0.0,2022-03-17
2000-1,AM,QUEROSENE ILUMINANTE ,m3,281.2,2022-03-17
2000-1,AC,QUEROSENE ILUMINANTE ,m3,0.0,2022-03-17
2000-1,RO,QUEROSENE ILUMINANTE ,m3,5395.39,2022-03-17
2000-1,DF,GASOLINA DE AVIAÇÃO ,m3,73.57,2022-03-17
2000-1,GO,GASOLINA DE AVIAÇÃO ,m3,380.5,2022-03-17
2000-1,MT,GASOLINA DE AVIAÇÃO ,m3,1463.3,2022-03-17
2000-1,MS,GASOLINA DE AVIAÇÃO ,m3,199.92,2022-03-17
2000-1,RS,GASOLINA DE AVIAÇÃO ,m3,1132.58,2022-03-17
2000-1,SC,GASOLINA DE AVIAÇÃO ,m3,103.5,2022-03-17
2000-1,PR,GASOLINA DE AVIAÇÃO ,m3,304.99,2022-03-17
2000-1,SP,GASOLINA DE AVIAÇÃO ,m3,2074.41,2022-03-17
2000-1,RJ,GASOLINA DE AVIAÇÃO ,m3,105.22,2022-03-17
2000-1,ES,GASOLINA DE AVIAÇÃO ,m3,4.95,2022-03-17
2000-1,MG,GASOLINA DE AVIAÇÃO ,m3,211.55,2022-03-17
2000-1,BA,GASOLINA DE AVIAÇÃO ,m3,169.46,2022-03-17
2000-1,SE,GASOLINA DE AVIAÇÃO ,m3,20.0,2022-03-17
2000-1,AL,GASOLINA DE AVIAÇÃO ,m3,15.0,2022-03-17
2000-1,PE,GASOLINA DE AVIAÇÃO ,m3,375.82,2022-03-17
2000-1,PB,GASOLINA DE AVIAÇÃO ,m3,1.46,2022-03-17
2000-1,RN,GASOLINA DE AVIAÇÃO ,m3,49.43,2022-03-17
2000-1,CE,GASOLINA DE AVIAÇÃO ,m3,47.54,2022-03-17
2000-1,PI,GASOLINA DE AVIAÇÃO ,m3,46.0,2022-03-17
2000-1,MA,GASOLINA DE AVIAÇÃO ,m3,57.56,2022-03-17
2000-1,TO,GASOLINA DE AVIAÇÃO ,m3,137.0,2022-03-17
2000-1,AP,GASOLINA DE AVIAÇÃO ,m3,0.0,2022-03-17
2000-1,PA,GASOLINA DE AVIAÇÃO ,m3,451.63,2022-03-17
2000-1,RR,GASOLINA DE AVIAÇÃO ,m3,30.0,2022-03-17
2000-1,AM,GASOLINA DE AVIAÇÃO ,m3,114.78,2022-03-17
2000-1,AC,GASOLINA DE AVIAÇÃO ,m3,45.45,2022-03-17
2000-1,RO,GASOLINA DE AVIAÇÃO ,m3,0.0,2022-03-17
2001-1,DF,GLP ,m3,11877.08,2022-03-17
2001-1,GO,GLP ,m3,43408.59,2022-03-17
2001-1,MT,GLP ,m3,13421.07,2022-03-17
2001-1,MS,GLP ,m3,12794.54,2022-03-17
2001-1,RS,GLP ,m3,64455.06,2022-03-17
2001-1,SC,GLP ,m3,39509.13,2022-03-17
2001-1,PR,GLP ,m3,61005.36,2022-03-17
2001-1,SP,GLP ,m3,292518.96,2022-03-17
2001-1,RJ,GLP ,m3,71592.85,2022-03-17
2001-1,ES,GLP ,m3,18412.92,2022-03-17
2001-1,MG,GLP ,m3,111235.64,2022-03-17
2001-1,BA,GLP ,m3,62841.83,2022-03-17
2001-1,SE,GLP ,m3,8085.25,2022-03-17
2001-1,AL,GLP ,m3,12720.71,2022-03-17
2001-1,PE,GLP ,m3,39204.74,2022-03-17
2001-1,PB,GLP ,m3,17061.49,2022-03-17
2001-1,RN,GLP ,m3,17524.17,2022-03-17
2001-1,CE,GLP ,m3,32196.37,2022-03-17
2001-1,PI,GLP ,m3,10848.86,2022-03-17
2001-1,MA,GLP ,m3,15816.96,2022-03-17
2001-1,TO,GLP ,m3,6514.34,2022-03-17
2001-1,AP,GLP ,m3,1784.43,2022-03-17
2001-1,PA,GLP ,m3,22919.98,2022-03-17
2001-1,RR,GLP ,m3,1244.3,2022-03-17
2001-1,AM,GLP ,m3,10449.32,2022-03-17
2001-1,AC,GLP ,m3,2249.26,2022-03-17
2001-1,RO,GLP ,m3,6118.96,2022-03-17
2001-1,RO,GASOLINA C ,m3,10440.37,2022-03-17
2001-1,AC,GASOLINA C ,m3,3037.47,2022-03-17
2001-1,AM,GASOLINA C ,m3,18643.2,2022-03-17
2001-1,RR,GASOLINA C ,m3,2971.83,2022-03-17
2001-1,PA,GASOLINA C ,m3,24540.27,2022-03-17
2001-1,AP,GASOLINA C ,m3,3481.1,2022-03-17
2001-1,TO,GASOLINA C ,m3,7403.85,2022-03-17
2001-1,MA,GASOLINA C ,m3,17435.79,2022-03-17
2001-1,PI,GASOLINA C ,m3,10840.17,2022-03-17
2001-1,CE,GASOLINA C ,m3,38692.25,2022-03-17
2001-1,RN,GASOLINA C ,m3,19274.63,2022-03-17
2001-1,PB,GASOLINA C ,m3,18375.68,2022-03-17
2001-1,PE,GASOLINA C ,m3,49183.42,2022-03-17
2001-1,AL,GASOLINA C ,m3,14303.19,2022-03-17
2001-1,SE,GASOLINA C ,m3,12643.99,2022-03-17
2001-1,BA,GASOLINA C ,m3,80308.77,2022-03-17
2001-1,MG,GASOLINA C ,m3,187015.66,2022-03-17
2001-1,ES,GASOLINA C ,m3,37494.66,2022-03-17
2001-1,RJ,GASOLINA C ,m3,156642.23,2022-03-17
2001-1,SP,GASOLINA C ,m3,598960.31,2022-03-17
2001-1,PR,GASOLINA C ,m3,122255.51,2022-03-17
2001-1,SC,GASOLINA C ,m3,99466.62,2022-03-17
2001-1,RS,GASOLINA C ,m3,157843.89,2022-03-17
2001-1,MS,GASOLINA C ,m3,22855.9,2022-03-17
2001-1,MT,GASOLINA C ,m3,32030.24,2022-03-17
2001-1,GO,GASOLINA C ,m3,55777.85,2022-03-17
2001-1,DF,GASOLINA C ,m3,43521.37,2022-03-17
2001-1,DF,ETANOL HIDRATADO ,m3,9752.26,2022-03-17
2001-1,GO,ETANOL HIDRATADO ,m3,13460.71,2022-03-17
2001-1,MT,ETANOL HIDRATADO ,m3,3152.39,2022-03-17
2001-1,MS,ETANOL HIDRATADO ,m3,5249.29,2022-03-17
2001-1,RS,ETANOL HIDRATADO ,m3,14380.02,2022-03-17
2001-1,SC,ETANOL HIDRATADO ,m3,14200.13,2022-03-17
2001-1,PR,ETANOL HIDRATADO ,m3,35205.73,2022-03-17
2001-1,SP,ETANOL HIDRATADO ,m3,128141.22,2022-03-17
2001-1,RJ,ETANOL HIDRATADO ,m3,15148.55,2022-03-17
2001-1,ES,ETANOL HIDRATADO ,m3,4184.41,2022-03-17
2001-1,MG,ETANOL HIDRATADO ,m3,35370.73,2022-03-17
2001-1,BA,ETANOL HIDRATADO ,m3,10499.69,2022-03-17
2001-1,SE,ETANOL HIDRATADO ,m3,2126.2,2022-03-17
2001-1,AL,ETANOL HIDRATADO ,m3,1422.75,2022-03-17
2001-1,PE,ETANOL HIDRATADO ,m3,5783.27,2022-03-17
2001-1,PB,ETANOL HIDRATADO ,m3,2435.01,2022-03-17
2001-1,RN,ETANOL HIDRATADO ,m3,2297.63,2022-03-17
2001-1,CE,ETANOL HIDRATADO ,m3,4939.9,2022-03-17
2001-1,PI,ETANOL HIDRATADO ,m3,2175.2,2022-03-17
2001-1,MA,ETANOL HIDRATADO ,m3,1182.05,2022-03-17
2001-1,TO,ETANOL HIDRATADO ,m3,1193.67,2022-03-17
2001-1,AP,ETANOL HIDRATADO ,m3,100.5,2022-03-17
2001-1,PA,ETANOL HIDRATADO ,m3,1604.73,2022-03-17
2001-1,RR,ETANOL HIDRATADO ,m3,163.2,2022-03-17
2001-1,AM,ETANOL HIDRATADO ,m3,1162.48,2022-03-17
2001-1,AC,ETANOL HIDRATADO ,m3,431.29,2022-03-17
2001-1,RO,ETANOL HIDRATADO ,m3,1196.6,2022-03-17
2001-1,DF,ÓLEO COMBUSTÍVEL ,m3,839.49,2022-03-17
2001-1,GO,ÓLEO COMBUSTÍVEL ,m3,32834.56,2022-03-17
2001-1,MT,ÓLEO COMBUSTÍVEL ,m3,3380.36,2022-03-17
2001-1,MS,ÓLEO COMBUSTÍVEL ,m3,967.98,2022-03-17
2001-1,RS,ÓLEO COMBUSTÍVEL ,m3,29671.64,2022-03-17
2001-1,SC,ÓLEO COMBUSTÍVEL ,m3,23554.57,2022-03-17
2001-1,PR,ÓLEO COMBUSTÍVEL ,m3,35079.21,2022-03-17
2001-1,SP,ÓLEO COMBUSTÍVEL ,m3,290021.93,2022-03-17
2001-1,RJ,ÓLEO COMBUSTÍVEL ,m3,65864.9,2022-03-17
2001-1,ES,ÓLEO COMBUSTÍVEL ,m3,45875.66,2022-03-17
2001-1,MG,ÓLEO COMBUSTÍVEL ,m3,120685.35,2022-03-17
2001-1,BA,ÓLEO COMBUSTÍVEL ,m3,25552.46,2022-03-17
2001-1,SE,ÓLEO COMBUSTÍVEL ,m3,2339.62,2022-03-17
2001-1,AL,ÓLEO COMBUSTÍVEL ,m3,488.21,2022-03-17
2001-1,PE,ÓLEO COMBUSTÍVEL ,m3,6834.11,2022-03-17
2001-1,PB,ÓLEO COMBUSTÍVEL ,m3,1013.14,2022-03-17
2001-1,RN,ÓLEO COMBUSTÍVEL ,m3,496.83,2022-03-17
2001-1,CE,ÓLEO COMBUSTÍVEL ,m3,1755.2,2022-03-17
2001-1,PI,ÓLEO COMBUSTÍVEL ,m3,13709.61,2022-03-17
2001-1,MA,ÓLEO COMBUSTÍVEL ,m3,10829.64,2022-03-17
2001-1,TO,ÓLEO COMBUSTÍVEL ,m3,28.54,2022-03-17
2001-1,AP,ÓLEO COMBUSTÍVEL ,m3,0.0,2022-03-17
2001-1,PA,ÓLEO COMBUSTÍVEL ,m3,50438.28,2022-03-17
2001-1,RR,ÓLEO COMBUSTÍVEL ,m3,0.0,2022-03-17
2001-1,AM,ÓLEO COMBUSTÍVEL ,m3,40010.43,2022-03-17
