COMBUSTÍVEL,ANO,REGIÃO,ESTADO,UNIDADE,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,TOTAL
GASOLINA DE AVIAÇÃO (m3),2000,REGIÃO NORTE,TOCANTINS,m3,137,94,62,43.791,47.274,94,47.684,181,15.399,45.939,65.279,90.689,924.055
GASOLINA DE AVIAÇÃO (m3),2000,REGIÃO NORTE,AMAPÁ,m3,0,0,0,0.234,0.1,0,0.524,4.911,9.697,9.715,7.035,4,36.216
GASOLINA DE AVIAÇÃO (m3),2000,REGIÃO NORTE,PARÁ,m3,451.634,524.938,409.3,530.466,532.21,647.516,526.913,729.498,546.881,617.856,588.496,471.289,6576.997
GASOLINA DE AVIAÇÃO (m3),2000,REGIÃO NORTE,RORAIMA,m3,30,30,60,30,60,30,30,60,30,62.423,30,30,482.423
GASOLINA DE AVIAÇÃO (m3),2000,REGIÃO NORTE,AMAZONAS,m3,114.782,142.514,145.488,98.553,118.788,124.601,171.2,95.403,161.124,136.131,128.08,134.844,1571.508
GASOLINA DE AVIAÇÃO (m3),2000,REGIÃO NORTE,ACRE,m3,45.45,30.3,45.45,30.3,30.3,60.6,30.16,60.6,77.687,46.455,3.525,2.984,463.811
GASOLINA DE AVIAÇÃO (m3),2000,REGIÃO NORTE,RONDÔNIA,m3,0,90,30.19,90,60,92,90,150,59.877,91.79,75.45,108.036,937.343
GLP (m3),2001,REGIÃO CENTRO-OESTE,DISTRITO FEDERAL,m3,11877.08,10787.71091,12931.54364,12402.84182,12986.89636,13149.28,13292.01636,13926.99818,12218.37818,13415.11273,12658.00727,13278.97636,152924.8418
GLP (m3),2001,REGIÃO CENTRO-OESTE,GOIÁS,m3,43408.58909,38344.45636,44849.27636,42336.73636,44525.34727,44002.52727,44900.00727,44339.82364,41546.58545,44585.53636,43196.66,43874.48727,519910.0327
GLP (m3),2001,REGIÃO CENTRO-OESTE,MATO GROSSO,m3,13421.06909,12692.94,14036.16,13156.19273,14534.98,13787.22182,14248.94909,14140.03091,13138.98727,14546.51091,13859.13091,14957.31636,166519.4891
GLP (m3),2001,REGIÃO CENTRO-OESTE,MATO GROSSO DO SUL,m3,12794.54182,11590.03818,13748.91273,13226.42364,14127.70727,13830.58545,13647.78182,13260.80909,12252.53818,12896.78727,11911.52545,13710.93455,156998.5855
GLP (m3),2001,REGIÃO SUL,RIO GRANDE DO SUL,m3,64455.06,56473.36727,69290.79636,66514.02,78470.01091,76264.22182,79591.93818,74504.98727,72539.67455,74348.24909,67944.20182,69134.74364,849531.2709
GLP (m3),2001,REGIÃO SUL,SANTA CATARINA,m3,39509.13455,37451.22182,40588.22364,40042.29455,45139.83091,44084.36364,44615.77636,44281.77091,41099.8,43434.12727,40114.80727,39965.11273,500326.4636
GLP (m3),2001,REGIÃO SUL,PARANÁ,m3,61005.36364,57437.91636,68008.06545,66694.21091,72896.12,74250.98,75133.01273,75439.70545,68718.04545,71461.21636,64796.62364,66371.29636,822212.5564
GLP (m3),2001,REGIÃO SUDESTE,SÃO PAULO,m3,292518.96,274140.9618,309606.5418,287206.64,330865.2709,324327.8073,329633.4091,333279.5491,310882.3564,324010.3673,306646.1964,307748.0782,3730866.138
GLP (m3),2001,REGIÃO SUDESTE,RIO DE JANEIRO,m3,71592.84545,65517.73636,75583.96909,70335.73818,81380.27818,81680.08909,83253.78545,86923.20727,82982.31273,86597.79818,78493.93636,86033.69455,950375.3909
